workflow_id,workflow_name,platform,source_system,target_system,trigger,business_purpose,owner,status,risk_level,reads_from,writes_to,database_user,connection_name,code_assets,runbook_file,last_tested_at,next_review_at,notes
zap_1,IMCD_NL_TreeCert_Postgres,Zapier,Zoho Forms,PostgreSQL; Zoho Creator,new_form_entry,Allocate tree/certificate record from Zoho Form submission,Eamonn,partially_audited,low,Zoho Forms payload; users1; trees1,users1; trees1; Zoho Creator record,zapier_user,Zapier defaultdb connection,docs/zapier_workflow_registry.csv,,2026-05-31,2026-06-30,Zoho Creator app/form names still need verification in Zapier UI.
zap_15,IMCD_BEL_TreeCert_Postgres,Zapier,Zoho Forms,PostgreSQL; Zoho Creator,new_form_entry,Allocate Belgian IMCD tree/certificate record from Zoho Form submission,Eamonn,partially_audited,low,Zoho Forms payload; users1; trees1,users1; trees1; Zoho Creator record,zapier_user,Zapier defaultdb connection,docs/zapier_workflow_registry.csv,,2026-05-31,2026-06-30,Zoho Creator app/form names still need verification in Zapier UI.
zap_29,zap a multipleEigenbomenShopifyToPostgreSQL SKU 02,Zapier,Shopify,PostgreSQL; Zoho Creator,new_paid_order_v3,Allocate owned tree purchase to PostgreSQL and create Zoho Creator evidence,Eamonn,partially_audited,medium,Shopify order; trees1; users1,trees1; users1; Zoho Creator record,zapier_user,Zapier defaultdb connection,docs/zapier_workflow_registry.csv,,2026-05-31,2026-06-30,History showed filtered runs only in inspected period; production active/paused state must be checked.
zap_47,Shopify tokenized gift tree link flow,Zapier,Shopify,PostgreSQL; Zoho Creator; Zoho Mail,new_paid_order_v3,Create gift claim token reserve trees and send claim-link email,Eamonn,partially_audited,medium,Shopify order; trees1; gift_claims; email_templates_01_gifttrees,gift_claims; Zoho Creator record; Zoho Mail outbound,zapier_user,Zapier defaultdb connection,docs/zapier_workflow_registry.csv,,2026-05-31,2026-06-30,Known as zap a- Shopify -> Tokenized Gift Tree Link SKU 01.
zap_61,ZAP B gift claim processing,Zapier,Zoho Forms,PostgreSQL; Zoho Creator,new_form_entry,Process gift tree claim form allocate claimed trees and create certificate jobs,Eamonn,not_audited,low,Zoho Forms payload; gift_claims; users1; SET; trees1,gift_claims; users1; trees1; Zoho Creator record,zapier_user,Zapier defaultdb connection,docs/zapier_workflow_registry.csv,,2026-05-31,2026-06-30,Certificate job output is inferred from Zapier inventory and needs manual confirmation.
zap_95,Chargebee subscription flow,Zapier,Chargebee,PostgreSQL; Zoho Mail,payment_succeeded,Handle subscription/customer record allocate subscription tree and send allocation mail,Eamonn,partially_audited,medium,Chargebee payment; users1; trees1,users1; trees1; Zoho Mail outbound,zapier_user,Zapier defaultdb connection,docs/zapier_workflow_registry.csv,,2026-05-31,2026-06-30,Workflow name in export is Nieuw abonnes chargebee REVERTED; 8 halted runs in inspected history.
zap_124,Monthly Tree Report,Zapier,Schedule,Zoho Mail; PostgreSQL,everyMonth,Email monthly tree report from PostgreSQL tree data,Eamonn,partially_audited,low,trees1,Zoho Mail outbound,zapier_user,Zapier defaultdb connection,docs/zapier_workflow_registry.csv,,2026-05-31,2026-06-30,Needs final workflow/audit log row and live recipient confirmation.
zap_129,Forest Hero Photo Email,Zapier,Schedule,Zoho Mail; PostgreSQL,everyHour,Send forest photo email once per user and log to email_log,Eamonn,partially_audited,low,photos; trees1; users1; email_log; unsent,email_log; Zoho Mail outbound,zapier_user,Zapier defaultdb connection,docs/zapier_workflow_registry.csv,,2026-05-31,2026-06-30,Large halted count likely due no eligible rows; confirm expected behavior.
zap_135,Copy zap b multiple Eigenbomen SKU02,Zapier,Shopify,PostgreSQL; Zoho Creator,new_paid_order_v3,Allocate owned tree purchase to PostgreSQL and create Zoho Creator evidence,Eamonn,partially_audited,medium,Shopify order; trees1; users1,trees1; users1; Zoho Creator record,zapier_user,Zapier defaultdb connection,docs/zapier_workflow_registry.csv,,2026-05-31,2026-06-30,Possible duplicate/replacement of zap_29; ownership and active state need review.
zap_141,Shopify subscription manual Zoho Form,Zapier,Zoho Forms,PostgreSQL; Zoho Mail,new_form_entry,Handle manually submitted Shopify subscription allocate tree and send allocation mail,Eamonn,partially_audited,medium,Zoho Forms payload; users1; trees1,users1; trees1; Zoho Mail outbound,zapier_user,Zapier defaultdb connection,docs/zapier_workflow_registry.csv,,2026-05-31,2026-06-30,Manual Shopify subscription intake via Zoho Form rather than direct Shopify trigger.
